,,,Salary,Salary,Salary,Salary,Salary,Salary,,
157,Wayne Ellington\ellinwa01,NYK,$7804878,$8195122,,,,,,$7804878
158,Luka Dončić\doncilu01,DAL,$7683360,$8049360,$10174391,,,,1st Round Pick,$15732720
159,Joe Harris\harrijo01,BRK,$7670000,,,,,,Early Bird Rights,$7670000
160,Seth Curry\curryse01,DAL,$7441860,$7813953,$8186047,$8558140,,,MLE,$32000000
161,Doug McDermott\mcderdo01,IND,$7333334,$7333333,,,,,,$14666667
162,Langston Galloway\gallola01,DET,$7333333,,,,,,MLE,$7333333
163,Derrick Rose\rosede01,DET,$7317073,$7682927,,,,,MLE,$15000000
164,Brandon Ingram\ingrabr01,NOP,$7265485,,,,,,1st Round pick,$7265485
165,D.J. Augustin\augusdj01,ORL,$7250000,,,,,,Cap Space,$7250000
166,Darius Miller\milleda01,NOP,$7250000,$7000000,,,,,,$7250000
167,De'Andre Hunter\huntede01,ATL,$7068360,$7422000,$7775400,$9835881,,,1st Round Pick,$14490360
168,Josh Jackson\jacksjo02,MEM,$7059480,,,,,,1st Round Pick,$7059480
169,DeMarre Carroll\carrode01,SAS,$7000000,$6650000,$7000000,,,,,$15000000
170,Dāvis Bertāns\bertada01,WAS,$7000000,,,,,,Early Bird Rights,$7000000
171,Ersan İlyasova\ilyaser01,MIL,$7000000,$7000000,,,,,MLE,$7000000
172,Jaren Jackson\jacksja02,MEM,$6927480,$7257360,$9180560,,,,1st Round Pick,$14184840
173,Nemanja Bjelica\bjeline01,SAC,$6825000,$7150000,,,,,,$6825000
174,Jaylen Brown\brownja02,BOS,$6534829,$22991071,$24830357,$26669643,$28508929,,1st Rd pick,$109534829
175,Jabari Parker\parkeja01,ATL,$6500000,$6500000,,,,,,$6500000
176,Ivica Zubac\zubaciv01,LAC,$6481482,$7000000,$7518518,$7518518,,,,$21000000
177,Joakim Noah\noahjo01,NYK,$6431666,$6431666,$6431666,,,,,$19294998
178,Darius Garland\garlada01,CLE,$6400920,$6720720,$7040880,$8920795,,,1st Round Pick,$13121640
179,De'Aaron Fox\foxde01,SAC,$6392760,$8099627,,,,,1st Round Pick,$14492387
180,Trae Young\youngtr01,ATL,$6273000,$6571800,$8326471,,,,1st Round Pick,$12844800
181,Montrezl Harrell\harremo01,LAC,$6000000,,,,,,,$6000000
182,Ish Smith\smithis01,WAS,$5853659,$6146341,,,,,MLE,$12000000
183,Marco Belinelli\belinma01,SAS,$5846154,,,,,,MLE,$5846154
184,Jarrett Culver\culveja01,MIN,$5813640,$6104280,$6395160,$8109063,,,1st Round Pick,$11917920
185,Jonathan Isaac\isaacjo01,ORL,$5806440,$7362566,,,,,1st Round Pick,$13169006
186,Rodney Hood\hoodro01,POR,$5718000,$6003900,,,,,MLE,$5718000
187,Mo Bamba\bambamo01,ORL,$5697600,$5969040,$7568742,,,,1st Round Pick,$11666640
188,Timofey Mozgov\mozgoti01,ORL,$5573333,$5573333,$5573334,,,,,$16720000
189,Trey Lyles\lylestr01,SAS,$5500000,$5500000,,,,,MLE,$5500000
190,Deron Williams\willide01,BRK,$5474787,,,,,,,$5474787
191,Aron Baynes\baynear01,PHO,$5453280,,,,,,,$5453280
192,Kris Dunn\dunnkr01,CHI,$5348007,,,,,,1st Round pick,$5348007
193,Josh Smith\smithjo03,DET,$5331729,,,,,,,$5331729
194,Coby White\whiteco01,CHI,$5307120,$5572680,$5837760,$7413955,,,1st Round Pick,$10879800
195,Lauri Markkanen\markkla01,CHI,$5300400,$6731508,,,,,1st Round Pick,$12031908
196,Ryan Anderson\anderry01,MIA,$5214583,$5214583,$5214584,,,,,$15643750
197,Wendell Carter\cartewe01,CHI,$5201400,$5448840,$6920027,,,,1st Round Pick,$10650240
198,Pau Gasol\gasolpa01,SAS,$5100000,,,,,,,$5100000
199,Daniel Theis\theisda01,BOS,$5000000,$5000000,,,,,,$5000000
200,Luol Deng\denglu01,LAL,$4990000,$4990000,$4990000,,,,,$14970000
201,Jaxson Hayes\hayesja02,NOP,$4862040,$5105160,$5348280,$6803012,,,1st Round Pick,$9967200
202,Buddy Hield\hieldbu01,SAC,$4861208,$24431818,$22477273,$20522727,$18568182,,1st Round pick,$90861208
203,Frank Ntilikina\ntilila01,NYK,$4855800,$6176578,,,,,1st Round Pick,$11032378
204,Ed Davis\davised01,UTA,$4767000,$5005350,,,,,Room Exception,$9772350
205,Richaun Holmes\holmeri01,SAC,$4767000,$5005350,,,,,Room Exception,$9772350
206,Frank Kaminsky\kaminfr01,PHO,$4767000,$5005350,,,,,Room Exception,$9772350
207,Mike Scott\scottmi01,PHI,$4767000,$5005350,,,,,Room Exception,$9772350
208,Avery Bradley\bradlav01,LAL,$4767000,$5005350,,,,,Room Exception,$9772350
