Name,Team,Salary
"T.J. McConnell, PG",Philadelphia 76ers,1600520.00
"Dwight Buycks, G",Detroit Pistons,1600520.00
"Tyler Lydon, F",Denver Nuggets,1579440.00
NAME,TEAM,SALARY
"Archie Goodwin, SG",Portland Trail Blazers,1577230.00
"Ryan Kelly, PF",Atlanta Hawks,1577230.00
"Jeff Withey, C",Dallas Mavericks,1577230.00
"Malachi Richardson, G",Toronto Raptors,1569360.00
"Caron Butler, SF",Sacramento Kings,1551659.00
"Willy Hernangomez, C",Charlotte Hornets,1544951.00
"Isaiah Taylor, G",Atlanta Hawks,1544951.00
"Pascal Siakam, PF",Toronto Raptors,1544951.00
"Okaro White, F",Miami Heat,1544951.00
"Troy Williams, F",New York Knicks,1544951.00
NAME,TEAM,SALARY
"Trey Burke, PG",New York Knicks,1544951.00
"Quinn Cook, PG",Golden State Warriors,1544951.00
"Rodney McGruder, SG",Miami Heat,1544951.00
"Malcolm Brogdon, PG",Milwaukee Bucks,1544951.00
"Mitch McGary, PF",Oklahoma City Thunder,1526040.00
"Joffrey Lauvergne, F",San Antonio Spurs,1524305.00
"Johnny O'Bryant III, PF",Charlotte Hornets,1524305.00
"Tyler Ennis, G",Los Angeles Lakers,1524305.00
"Elijah Millsap, F",Denver Nuggets,1524305.00
"Jerami Grant, PF",Oklahoma City Thunder,1524305.00
NAME,TEAM,SALARY
"Marcelinho Huertas, PG",Houston Rockets,1500000.00
"Tyus Jones, PG",Minnesota Timberwolves,1471382.00
"Mario Chalmers, G",Memphis Grizzlies,1471382.00
"Omri Casspi, F",Golden State Warriors,1471382.00
"Nick Collison, F",Oklahoma City Thunder,1471382.00
"KJ McDaniels, F",Oklahoma City Thunder,1471382.00
"Raymond Felton, G",Oklahoma City Thunder,1471382.00
"Josh Huestis, F",Oklahoma City Thunder,1471382.00
"Anthony Morrow, SG",Portland Trail Blazers,1471382.00
"Kris Humphries, PF",Philadelphia 76ers,1471382.00
NAME,TEAM,SALARY
"Raul Neto, PG",Utah Jazz,1471382.00
"Damjan Rudez, SF",Orlando Magic,1471382.00
"Aaron Brooks, G",Minnesota Timberwolves,1471382.00
"Pat Connaughton, SG",Portland Trail Blazers,1471382.00
"Joel Anthony, C",San Lorenzo San Lorenzo,1471382.00
"JaVale McGee, C",Golden State Warriors,1471382.00
"Montrezl Harrell, PF",LA Clippers,1471382.00
"Luc Mbah a Moute, F",Houston Rockets,1471382.00
"Damien Wilkins, SG",Indiana Pacers,1471382.00
"Rakeem Christmas, PF",Indiana Pacers,1471382.00
NAME,TEAM,SALARY
"David West, F",Golden State Warriors,1471382.00
"Kevon Looney, PF",Golden State Warriors,1471382.00
"Andrew Bogut, C",Los Angeles Lakers,1471382.00
"Beno Udrih, PG",Detroit Pistons,1471382.00
"Chris McCullough, F",Washington Wizards,1471382.00
"Nikola Jokic, C",Denver Nuggets,1471382.00
"Josh Childress, F",Maccabi Haifa Maccabi Haifa,1471382.00
"Donald Sloan, G",Denver Nuggets,1471382.00
"Maalik Wayns, PG",Dallas Mavericks,1471382.00
