Name,Team,Salary,Column 7
"Terry Rozier, PG",Boston Celtics,1906440.00,
"James Young, G",Boston Celtics,1825200.00,
"Rashad Vaughn, G",Milwaukee Bucks,1811040.00,
NAME,TEAM,SALARY,
"Kevin Seraphin, C",Indiana Pacers,1800000.00,
"Wade Baldwin IV, G",Memphis Grizzlies,1793760.00,
"Quincy Acy, F",Brooklyn Nets,1790092.00,
"Tyler Ennis, G",Los Angeles Lakers,1733880.00,
"Sam Dekker, F",Houston Rockets,1720560.00,
"Joffrey Lauvergne, F",Oklahoma City Thunder,1709719.00,
"Henry Ellenson, PF",Detroit Pistons,1704120.00,
"Gary Harris, SG",Denver Nuggets,1655880.00,
"Jerian Grant, G",Chicago Bulls,1643040.00,
"Malik Beasley, SG",Denver Nuggets,1627320.00,
NAME,TEAM,SALARY,
"Bruno Caboclo, SF",Toronto Raptors,1589640.00,
"Delon Wright, PG",Toronto Raptors,1577280.00,
"Caris LeVert, SG",Brooklyn Nets,1562280.00,
"David Lee, PF",San Antonio Spurs,1551659.00,
"Caron Butler, SF",Sacramento Kings,1551659.00,
"Mitch McGary, PF",Oklahoma City Thunder,1526040.00,
"Justin Anderson, G",Philadelphia 76ers,1514160.00,
"Marcelinho Huertas, PG",Los Angeles Lakers,1500000.00,
"DeAndre' Bembry, SG",Atlanta Hawks,1499760.00,
"Jordan Adams, SG",Memphis Grizzlies,1465080.00,
NAME,TEAM,SALARY,
"Bobby Portis, PF",Chicago Bulls,1453680.00,
"Demetrius Jackson, G",Boston Celtics,1450000.00,
"Malachi Richardson, G",Sacramento Kings,1439800.00,
"Rodney Hood, SG",Utah Jazz,1406520.00,
"Marreese Speights, F",LA Clippers,1403611.00,
"JaVale McGee, C",Golden State Warriors,1403611.00,
"Michael Beasley, F",Milwaukee Bucks,1403611.00,
"Rondae Hollis-Jefferson, SF",Brooklyn Nets,1395600.00,
"Deyonta Davis, F",Memphis Grizzlies,1369299.00,
"Nikola Jokic, C",Denver Nuggets,1358500.00,
NAME,TEAM,SALARY,
"Shabazz Napier, PG",Portland Trail Blazers,1350120.00,
"Willy Hernangomez, C",New York Knicks,1350000.00,
"Guillermo Hernangomez, C",New York Knicks,1350000.00,
"Tyus Jones, PG",Minnesota Timberwolves,1339680.00,
"Sasha Kaun, C",Philadelphia 76ers,1333240.00,
"Timothe Luwawu-Cabarrot, SG",Philadelphia 76ers,1326960.00,
"Clint Capela, C",Houston Rockets,1296240.00,
"Jarell Martin, F",Memphis Grizzlies,1286160.00,
"Brice Johnson, PF",LA Clippers,1273920.00,
"Luke Babbitt, F",Miami Heat,1227286.00,
NAME,TEAM,SALARY,
"Jeremy Evans, F",Atlanta Hawks,1227286.00,
"Jordan Mickey, F",Boston Celtics,1223653.00,
"CJ Wilcox, G",Orlando Magic,1209600.00,
"Larry Nance Jr., PF",Los Angeles Lakers,1207680.00,
"Pascal Siakam, PF",Toronto Raptors,1196040.00,
"Kyle Anderson, SF",San Antonio Spurs,1192080.00,
"Josh Huestis, F",Oklahoma City Thunder,1191480.00,
"Chris McCullough, F",Washington Wizards,1191480.00,
"Livio Jean-Charles, SF",San Antonio Spurs,1188840.00,
"Skal Labissiere, PF",Sacramento Kings,1188840.00,
NAME,TEAM,SALARY,
"Kevon Looney, PF",Golden State Warriors,1182840.00,
"Dejounte Murray, PG",San Antonio Spurs,1180080.00,
"Damian Jones, C",Golden State Warriors,1171560.00,
"Isaiah Whitehead, G",Brooklyn Nets,1074145.00,
"Joe Young, G",Indiana Pacers,1052342.00,
"Rakeem Christmas, PF",Indiana Pacers,1052342.00,
"Tony Wroten, SG",Memphis Grizzlies,1050961.00,
"John Jenkins, G",Phoenix Suns,1050961.00,
"Chris Johnson, SG",Houston Rockets,1050961.00,
"Glenn Robinson III, SF",Indiana Pacers,1050500.00,
NAME,TEAM,SALARY,
"Montrezl Harrell, PF",Houston Rockets,1045000.00,
"Ivica Zubac, C",Los Angeles Lakers,1034956.00,
"Richaun Holmes, PF",Philadelphia 76ers,1025831.00,
"Lorenzo Brown, G",Guangzhou Guangzhou Long-Lions,1015696.00,
"Mike Muscala, PF",Atlanta Hawks,1015696.00,
"Robert Covington, PF",Philadelphia 76ers,1015696.00,
"Isaiah Canaan, G",Chicago Bulls,1015696.00,
"DeAndre Liggins, G",Dallas Mavericks,1015696.00,
"Justin Holiday, SF",New York Knicks,1015696.00,
"Anthony Bennett, F",Brooklyn Nets,1015696.00,
NAME,TEAM,SALARY,
"Andrew Goudelock, PG",Houston Rockets,1015696.00,
"Jeff Withey, C",Utah Jazz,1015696.00,
"Willie Reed, C",Miami Heat,1015696.00,
"Edy Tavares, C",Cleveland Cavaliers,1000000.00,
"Brian Roberts, PG",Charlotte Hornets,980431.00,
"Jarnell Stokes, C",Denver Nuggets,980431.00,
"Ty Lawson, G",Sacramento Kings,980431.00,
"Henry Sims, C",Utah Jazz,980431.00,
"Nate Wolters, PG",Utah Jazz,980431.00,
