"player_id","player_name.x","SALARY","fantasy_points","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","salaryPerPoints","predResponse"
"jacksde01","Demetrius Jackson",1450000,16.3,"PG",22,"BOS",5,0,17,3,4,0.75,1,1,1,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10,88957.0552147239,"66514.8855654636"
"jacksre01","Reggie Jackson",14956522,1141.8,"PG",26,"DET",52,50,1424,284,677,0.419,66,184,0.359,218,493,0.442,0.468,118,136,0.868,21,93,114,270,35,5,114,129,752,13099.0733928884,"10363.4401735749"
"jamesle01","LeBron James",30963450,3300.8,"SF",32,"CLE",74,74,2794,736,1344,0.548,124,342,0.363,612,1002,0.611,0.594,358,531,0.674,97,542,639,646,92,44,303,134,1954,9380.5895540475,"10106.5052467651"
"johnsja01","James Johnson",4e+06,1841.2,"PF",29,"MIA",76,5,2085,368,769,0.479,87,256,0.34,281,513,0.548,0.535,152,215,0.707,66,310,376,276,76,86,171,197,975,2172.49619813165,"10309.7068669657"
"johnsjo02","Joe Johnson",1.1e+07,1198.6,"SF",35,"UTA",78,14,1843,273,626,0.436,106,258,0.411,167,368,0.454,0.521,63,77,0.818,33,210,243,144,36,18,69,93,715,9177.37360253629,"6966.04232827841"
"johnsst04","Stanley Johnson",2969880,776.3,"SF",20,"DET",77,1,1371,129,365,0.353,45,154,0.292,84,211,0.398,0.415,36,53,0.679,36,153,189,105,56,24,71,121,339,3825.68594615484,"4367.56388025623"
"johnsty01","Tyler Johnson",5628000,1674.1,"PG",24,"MIA",73,0,2178,357,824,0.433,93,250,0.372,264,574,0.46,0.49,195,254,0.768,50,243,293,233,84,44,90,176,1002,3361.80634370707,"4102.80811434643"
"jonesty01","Tyus Jones",1339680,558.4,"PG",20,"MIN",60,0,774,75,181,0.414,26,73,0.356,49,108,0.454,0.486,33,43,0.767,10,57,67,156,48,5,38,50,209,2399.14040114613,"4850.75123133601"
"jordade01","DeAndre Jordan",21165675,2559.8,"C",28,"LAC",81,81,2570,412,577,0.714,0,2,0,412,575,0.717,0.714,205,425,0.482,298,816,1114,96,51,134,115,212,1029,8268.48777248223,"7351.31632018451"
"josepco01","Cory Joseph",7315000,1375.5,"PG",25,"TOR",80,22,2003,299,661,0.452,48,135,0.356,251,526,0.477,0.489,94,122,0.77,51,184,235,265,66,13,108,140,740,5318.06615776081,"6957.43653580688"
